Time	LLRF:BRD2:NTC2:TEMP [degC]	LLRF:BRD2:NTC0:TEMP [degC]	LLRF:BRD2:NTC1:TEMP [degC]	LLRF:BRD3:NTC0:TEMP [degC]	LLRF:BRD3:NTC2:TEMP [degC]	LLRF:BRD3:NTC1:TEMP [degC]	LLRF:BRD1:NTC1:TEMP [degC]	LLRF:BRD1:NTC2:TEMP [degC]	LLRF:BRD1:NTC3:TEMP [degC]	LLRF:BRD1:NTC0:TEMP [degC]	
08/29/2022 14:47:45.403260	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	
08/29/2022 14:47:45.501623	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	
08/29/2022 14:47:45.599829	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	
08/29/2022 14:47:45.698012	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	
08/29/2022 14:47:45.796244	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	
08/29/2022 14:47:45.894461	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	
08/29/2022 14:47:45.992686	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	
08/29/2022 14:47:46.091065	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	
08/29/2022 14:47:46.189397	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	
08/29/2022 14:47:46.287831	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	
08/29/2022 14:47:46.386158	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	
08/29/2022 14:47:46.484466	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	
08/29/2022 14:47:46.582762	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	
08/29/2022 14:47:46.681184	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	
08/29/2022 14:47:46.779515	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	
08/29/2022 14:47:46.878014	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	
08/29/2022 14:47:46.976353	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	
08/29/2022 14:47:47.074653	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	
08/29/2022 14:47:47.172958	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	BadVal	
